Date,Spatial Amsterdam,Spatial Beverwijk,Spatial Driehuis,Spatial Heemskerk,Spatial IJmuiden,Spatial Velsen-Noord,Spatial Zaandam
2022-09-08 17:00:00+00:00,0.7423922493458857,3.0973408971916863,2.4348458441135414,2.364094958229961,3.340988434475017,3.3955340621013885,1.1187422923086288
2022-09-08 18:00:00+00:00,0.5936784159207276,2.22374915845925,1.804116616598442,1.800908014782549,2.476366326141792,2.432087263455539,0.8449976970472558
2022-09-08 19:00:00+00:00,0.5701142524830535,2.149341129847262,1.8184117614589472,1.9092090861696602,2.5915576957777176,2.5032233622998863,0.905262429387511
2022-09-08 20:00:00+00:00,0.9238656131664331,3.4995183021877563,2.7813137566425183,3.0678579144745766,4.659906258584603,4.314287067399837,1.2891184169427623
2022-09-08 21:00:00+00:00,1.2094238385799847,4.946310992568409,3.8560297763792653,4.206017244957705,6.27213628669557,5.6401324840067195,1.7846757203575219
2022-09-08 22:00:00+00:00,1.1012871262164956,4.828378631499342,3.654310285254345,4.064507584194958,6.059712387156939,5.186422004680852,1.5938193962406957
2022-09-08 23:00:00+00:00,0.9825824584738208,4.053102090363877,3.179877336272438,3.4588551259846847,5.095874645417801,4.570679374704595,1.4504056582823561
2022-09-09 00:00:00+00:00,1.3214123017145236,5.2317792450258676,4.098429135525218,4.604480638937394,6.8291355756900565,6.128421299848314,1.845618526669723
2022-09-09 01:00:00+00:00,1.7725180704718313,7.864042588183594,5.749666073016389,6.659614878098459,10.461487024467957,8.918000918907797,2.64160747260748
2022-09-09 02:00:00+00:00,3.108994945915656,12.842526367856593,9.642761940428493,10.99313760205381,17.15391418547021,14.807031065189152,4.50353140502586
2022-09-09 03:00:00+00:00,5.338199043097369,22.174631518620586,16.401736818767844,19.075846985287875,30.42298796145886,26.389059951521443,7.598781718056709
2022-09-09 04:00:00+00:00,6.059373276773849,26.345675221650325,18.867894017052105,22.519149223628993,36.57540079235558,31.057610837214874,8.732591083025575
2022-09-09 05:00:00+00:00,4.848879119658678,20.432376978644356,14.30836365385289,17.312273570162397,28.575371870548825,23.915902412704828,6.86677767673703
2022-09-09 06:00:00+00:00,3.4060525463829228,15.145050415765756,10.735265172023649,12.49193631277593,20.72529663704847,17.438782313973988,4.903666275579537
2022-09-09 07:00:00+00:00,1.7555378975570362,8.081871094425198,5.6343359341778125,5.953686512953556,9.734047392092204,7.610636275291864,2.5108620651341242
2022-09-09 08:00:00+00:00,1.692379645234962,7.639188687081688,5.490378387592998,5.559252702644468,8.637534976385293,7.026625314129673,2.4461337145378343
2022-09-09 09:00:00+00:00,1.622776058555038,7.309317585678652,5.396351632322794,5.449226262847523,8.2068204985277,6.768442415169004,2.447650888781538
2022-09-09 10:00:00+00:00,1.4430205665114486,6.568010623036239,4.7580081939381875,4.875491766900241,7.383834497798498,6.046250502873637,2.212067259720878
2022-09-09 11:00:00+00:00,1.2827052104207368,5.8995808975808846,4.724428206041165,4.467266407955907,6.362758264354483,5.749143488732296,2.0235414641605334
2022-09-09 12:00:00+00:00,1.123293107987036,5.524750597770145,4.030204465967444,4.025130470660473,6.159372922418819,4.97054630466062,1.778134075879899
2022-09-09 13:00:00+00:00,0.9382153021897003,4.517087539867348,3.481309753352579,3.2779382954990073,4.874655820296433,4.4288464478835,1.5370874688766278
2022-09-09 14:00:00+00:00,0.9946166805890901,4.808332776682052,3.547728847009729,3.480431649255478,5.2384610143267505,4.638180903373738,1.7120193384753344
2022-09-09 15:00:00+00:00,0.9004604955053094,4.309254594074034,3.161450301505944,3.318687503516715,5.070281740311967,4.1902684315282315,1.4248326983883826
2022-09-09 16:00:00+00:00,0.785373775776307,3.680703626782437,2.774335407287949,2.781092985215037,4.1693312908588505,3.4048817579204327,1.117103245786404
2022-09-09 17:00:00+00:00,0.8031000035154838,3.9993321262814048,3.0025669223170723,2.9184815239271966,4.3513466937045475,3.484196393231916,1.192701952665152
2022-09-09 18:00:00+00:00,1.1534532252210372,6.01869104128396,4.136687867559262,4.245767965036573,6.608808823023268,4.807170089836731,1.7711755123438777
2022-09-09 19:00:00+00:00,1.5558279707841307,6.352928644880855,4.445321288372228,5.292370493658268,8.116567899218424,6.447916207954956,2.343430756364146
2022-09-09 20:00:00+00:00,2.6346230752353326,11.179073619579235,7.722950744084819,9.436504111886917,14.36040114499881,11.65150384629772,3.7587951444092615
2022-09-09 21:00:00+00:00,1.9251865471701586,8.573900045370495,6.382450499227218,6.910358609589311,10.148640080150559,8.320243273671144,2.845689075238706
2022-09-09 22:00:00+00:00,1.3382212323269895,4.9247281110191,3.549924208601645,4.0270333557300075,6.163189946052645,5.013099512134865,1.9970315123173294
2022-09-09 23:00:00+00:00,2.7047721340428024,11.736745974718666,7.6818935207184555,8.52929055846794,13.703156834553194,9.548417176352931,3.6874209657165338
2022-09-10 00:00:00+00:00,3.4873016828225385,15.289103168788579,9.616271062320127,11.788475442255837,19.838093886732086,14.222584816151144,4.900362394851516
2022-09-10 03:00:00+00:00,4.14617470596251,18.39036319403657,12.448621336511083,14.092900815265383,22.846117665386384,17.079824635075013,5.921586508644092
2022-09-10 04:00:00+00:00,7.083528766816575,32.13582142512517,22.18891245896107,25.042368615724698,41.945814537439716,32.83417293595211,9.874235468988147
2022-09-10 05:00:00+00:00,7.762545284404811,33.77901726388449,25.63530452722339,27.97160288690272,42.173064411672144,35.61372990617469,10.813090988898791
2022-09-10 06:00:00+00:00,9.452305672796355,42.74067549411987,32.004262255477215,35.127824705012706,53.99694656807391,45.030362662924674,13.326444444304258
2022-09-10 07:00:00+00:00,8.879509399361282,38.915651523915045,29.762418109557,32.01540528364466,49.87682067065215,42.7873232817667,12.769727242541173
2022-09-10 08:00:00+00:00,7.232446894797387,28.928807479086778,22.513198171355018,24.109037006711468,36.972044186303506,33.1497286928178,9.105560705673435
2022-09-10 09:00:00+00:00,3.8916714618358403,12.526641230668963,10.726900674898427,11.357664213609102,16.735693042333214,17.08847136248548,4.567008656577865
2022-09-10 10:00:00+00:00,2.0949466468232902,6.906154303596377,6.034003945042935,6.53883719432309,8.606360999901902,9.551050697279448,2.7317487147895476
2022-09-10 11:00:00+00:00,2.0015913322830876,7.069673459627234,6.083839114344725,5.756607928344207,7.576598567270825,8.834893232703932,2.554853594563502
2022-09-10 12:00:00+00:00,1.1886298707709364,4.425654886613368,4.198945192170374,3.561012949260474,4.402900002613647,5.646170539869846,1.6327024298558173
